NodeId	BscFunctionId	BscMId	GeranCellMId	GeranCellId	GeranCellRelationId	awOffset	bqOffset	bqOffsetAfr	cand	cs	hiHyst	kHyst	kOffset	lHyst	lOffset	loHyst	offset	tRHyst	tROffset
TO3BSC1	1	1	1	T54MA3	T35M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA3	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA3	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA2	T54MP3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA2	T54M3	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA2	T54M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA1	T35M2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA1	T54M1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA1	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA1	T35M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54MA1	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA3	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA3	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA2	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA2	T54MP3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA1	T54MP2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA1	T54MP1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA1	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA1	T54M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MA1	T54M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T12MS1	T54MP1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T55MC1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T35MM2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	TMQ2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T84M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
