NodeId	BscFunctionId	BscMId	GeranCellMId	GeranCellId	PowerControlId	PowerControlDownlinkId	bsPwrMin	bsRPwrOffset	dBtsPcState	dtxD	lCompDl	qCompDl	qDesDl	qDesDlAfr	qDesDlAhr	ssDesDl	ssDesDlAfr	ssDesDlAhr	ssDesDlAwb	ssOffsetDl	ssOffsetDlAfr
TO3BSC1	1	1	1	T35M2	1	1	-20	16	ACTIVE	ON	60	60	30	40	40	92	90	90	90	5	5
TO3BSC1	1	1	1	T54M1	1	1	-20	16	ACTIVE	ON	60	60	30	40	40	92	90	90	90	5	5
TO3BSC1	1	1	1	T35M3	1	1	-20	16	ACTIVE	ON	60	60	30	40	40	92	90	90	90	5	5
TO3BSC1	1	1	1	T35M1	1	1	-20	16	ACTIVE	ON	60	60	30	40	40	92	90	90	90	5	5
TO3BSC1	1	1	1	T54M2	1	1	-20	16	ACTIVE	ON	60	60	30	40	40	92	90	90	90	5	5
TO3BSC1	1	1	1	T54M3	1	1	-20	16	ACTIVE	ON	60	60	30	40	40	92	90	90	90	5	5
TO3BSC1	1	1	1	T54MP3	1	1	-20	16	ACTIVE	ON	60	60	30	40	40	92	90	90	90	5	5
TO3BSC1	1	1	1	T54MP2	1	1	-20	16	ACTIVE	ON	60	60	30	40	40	92	90	90	90	5	5
TO3BSC1	1	1	1	T54MP1	1	1	-20	16	ACTIVE	ON	60	60	30	40	40	92	90	90	90	5	5
TO3BSC1	1	1	1	TO3TS0	1	1	-20	-2	ACTIVE	ON	60	60	30	40	30	92	90	90	70	5	5
